tanggal,stasiun,pm25,pm10,so2,co,o3,no2,year,month,day,dayofweek,categori
2010-01-01,DKI1 (BUNDERAN HI),78.0,60.0,4.0,73.0,27.0,14.0,2010,1,1,4,SEDANG
2010-01-02,DKI1 (BUNDERAN HI),78.0,32.0,2.0,16.0,33.0,9.0,2010,1,2,5,BAIK
2010-01-03,DKI1 (BUNDERAN HI),78.0,27.0,2.0,19.0,20.0,9.0,2010,1,3,6,BAIK
2010-01-04,DKI1 (BUNDERAN HI),78.0,22.0,2.0,16.0,15.0,6.0,2010,1,4,0,BAIK
2010-01-05,DKI1 (BUNDERAN HI),78.0,25.0,2.0,17.0,15.0,8.0,2010,1,5,1,BAIK
2010-01-06,DKI1 (BUNDERAN HI),78.0,30.0,3.0,22.0,19.0,11.0,2010,1,6,2,BAIK
2010-01-07,DKI1 (BUNDERAN HI),78.0,41.0,4.0,24.0,27.0,13.0,2010,1,7,3,BAIK
2010-01-08,DKI1 (BUNDERAN HI),78.0,64.0,8.0,51.0,19.0,15.0,2010,1,8,4,SEDANG
2010-01-09,DKI1 (BUNDERAN HI),78.0,55.0,5.0,39.0,23.0,16.0,2010,1,9,5,SEDANG
2010-01-10,DKI1 (BUNDERAN HI),78.0,34.0,5.0,23.0,26.0,12.0,2010,1,10,6,BAIK
2010-01-11,DKI1 (BUNDERAN HI),78.0,55.0,10.0,32.0,23.0,16.0,2010,1,11,0,SEDANG
2010-01-12,DKI1 (BUNDERAN HI),78.0,45.0,4.0,33.0,9.0,17.0,2010,1,12,1,BAIK
2010-01-13,DKI1 (BUNDERAN HI),78.0,28.0,5.0,29.0,10.0,12.0,2010,1,13,2,BAIK
2010-01-14,DKI1 (BUNDERAN HI),78.0,38.0,6.0,28.0,15.0,10.0,2010,1,14,3,BAIK
2010-01-15,DKI1 (BUNDERAN HI),78.0,35.0,5.0,33.0,17.0,17.0,2010,1,15,4,BAIK
